ingilizce;Türkçe
"Triangle
mysterious
mystery
Notable 
celebrity 
celebrate
alien";"Üçgen
gizemli
gizem
Önemli
ünlü
kutlama
uzaylý"
"Makeup 
poster
gloomy 
gaunt
rub 
smeared 
smudge
wipe 
embrace
forecasting";"Makyaj
poster
kasvetli
zayýf
ovmak
bulaþmýþ
lekelemek
silmek
kucaklamak
tahmin etmek"
"distractions 
bare";"dikkat daðýtýcý þeyler
çýplak"
"barrier
blister
pale";"bariyer
kabarcýk
soluk"
"martial 
intervention 
tune
collapse";"dövüþ
müdahale
melodi
çöküþ"
"engagement
fatigue
measure";"katýlým
yorgunluðu
ölçüsü"
"fertility 
pesticide
exposure
underestimated
contributes
rainwater";"doðurganlýk
pestisit
maruziyeti
küçümseniyor
katkýda bulunuyor
yaðmur suyu"
fortification;tahkimat
"Companion
heartbeat
nanny";"Refakatçi
kalp atýþý
dadý"
"supplement 
inequality 
brisk
marginalized 
individual";"ek
eþitsizlik
hýzlý
marjinalleþtirilmiþ
birey"
"plagiarized
constitutional
uphold
upbeat
catchy
Supreme 
claim 
damage
composer 
accused";"çalýntý
anayasaya uygun
destekleyici
iyimser
akýlda kalýcý
Yüce
iddia
zarar
besteci
suçlanan"
unconscious;bilinçsiz
slender;ince
attachment;EK
agility;çeviklik
"comply
rival
sue
violating 
exclusive 
monopoly";"uymak
rakip
dava açmak
ihlal etmek
münhasýr
tekel"
"tribe
representatives 
represent
present
dip
landmarks 
trademark
doubtful";"kabile
temsilcileri
temsil etmek
sunmak
daldýrmak
tarihi yapýlar
ticari marka
þüpheli"
"commercialize
endeavors
solely
demand
leisure";"ticarileþtirmek
çabalar
sadece
talep
eðlence"
"settlements 
Exposure 
Exposure to mold
mold
vulnerable 
excessive 
inequality";"Yerleþimler
Maruziyet
Küf maruziyeti
Küf
savunmasýz
Aþýrý
Eþitsizlik"
"disrupt
strike
strict
self-sufficient
drought";"kesintiye uðratmak
grev
sýký
kendi kendine yetmek
kuraklýk"
"leather
compound
prohibited
liquor
hollow
Dyes
poisonous
compounds
ingredients
insurance";"deri
bileþik
yasak
içki
boþ
Boyalar
zehirli
bileþikler
içerikler
sigorta"
"strait
revive
decline
offset
fault
transformative
demonstrate";"boðaz
canlanma
gerileme
dengeleme
fay
dönüþtürücü
göstermek"
"constable
gaunt
tie
harshly
mutton
duty
pity
patches
coins
barely
bury
miserable
pails
pinch
sproud
blossom
companion
nap";"polis memuru
zayýf
kravat
sertçe
koyun
görev
acýma
yamalar
madeni paralar
zar zor
gömmek
sefil
kovalar
çimdiklemek
tomurcuklanmak
çiçek açmak
arkadaþ
uyku"
provision;karþýlýk
plead;yalvarmak
plain;ova
bead;boncuk
hang;asmak
hold;tutmak
glossary;sözlük
course;kurs
"thunder 
claps
 enormous
cloud of dust
whistler
fear
greater
rushes
rascal
ashe
fatigue
stretched
pear
peel
occur
cause
minor
chorus
quarrelling
slap
stalls
yell
leap
fault wasnt me
nail
roast
whip";"gök gürültüsü
alkýþlar
muazzam
toz bulutu
ýslýk çalan
korku
daha büyük
hýçkýrýklar
serseri
kül
yorgunluk
gerilmiþ
armut
kabuðu
meydana gelmek
neden olmak
küçük
koro
kavga
tokat
durmak
baðýrmak
sýçrama
hata ben deðildim
çivi
kýzartma
kýrbaç"
